st_teff,dec,pl_rade,pl_eqt,type,Status,pl_insol,st_rad,st_tmag,pl_orbper,ra,st_logg
5818.0,-88.568495,14.6986197,1689.411619,TESS,PC,1925.142617,2.0840001,12.2303,3.7178828,305.56982,4.33787
6907.0,-76.49349,14.2968,1067.0,TESS,FP,215.208,3.09,9.4142,9.30992,238.001011,3.63
6093.0,-76.300955,5.48364,2148.0,TESS,FA,3534.3,1.4,10.4613,1.15395,272.311383,4.2
11600.0,-52.885989,25.7144,4243.0,TESS,FP,53821.0,2.48,10.3918,4.73703,228.84306,4.13
5346.0,-25.687376,12.2867389,1209.574123,TESS,KP,505.8840075,0.984866,13.2366,2.76676,313.215475,4.48823
7009.8,-68.588832,22.7769,3722.0,TESS,FP,31883.5,2.95,10.0196,2.19296,242.016315,3.6
7348.0,-56.025931,15.0024,4175.0,TESS,PC,50469.2,2.39,9.3529,1.725841,222.101134,3.9
6534.0,-64.634285,30.666,3958.0,TESS,FP,40771.2,2.04,9.0039,1.1923,217.022882,3.95
,-63.045983,,,TESS,FP,,,10.0067,11.47606,215.805264,
7710.0,-53.819601,9.08382,1760.0,TESS,APC,1596.43,2.28,9.9806,0.5971314,230.498827,3.98
7066.0,-75.926187,13.7339261,2962.241804,TESS,PC,18197.13545,2.6647301,10.4291,1.4821386,133.968965,3.78
6553.0,-73.173308,5.7349089,3430.762244,TESS,FP,32740.36294,2.8908899,10.11,0.9209526,133.826684,3.65
5876.0,-74.57402,2.16591,786.0,TESS,CP,63.4589,0.98,8.7215,9.188506,189.775859,4.48
5876.0,-74.57402,2.6136848,756.6987586,TESS,CP,77.4841883,0.983215,8.7215,13.9028391,189.775859,4.48
6153.0,-88.121111,3.0538057,957.1991659,TESS,CP,198.394783,1.14582,8.7581,10.1826983,192.589285,4.34814
4867.0,-77.338802,2.56374,853.0,TESS,CP,87.8902,0.8,7.3661,6.441006,328.718171,4.438
5943.0,-59.942589,14.9172256,1320.651823,TESS,KP,718.9096994,1.15706,11.6714,3.1743504,5.618525,4.42524
6033.0,-83.567067,4.0506906,736.1368293,TESS,FP,69.3993155,1.14849,10.5135,20.0731588,9.126138,4.37
5803.5,-77.529113,9.36823,1268.0,TESS,FP,429.86,1.56,10.5891,2.66903,319.551469,4.07
4138.1,-76.858265,2.75375,610.0,TESS,FP,22.9987,0.63,10.5652,6.63371,263.003209,4.54
4437.0,-63.789963,45.3525,1976.0,TESS,PC,2533.34,3.13,10.5598,2.94308,310.086743,
6058.6,-85.709137,4.7531892,846.173434,TESS,FP,121.1597998,1.39203,7.5622,341.2811281,279.721286,4.2
4664.0,-89.471513,2.90726,594.0,TESS,PC,20.7383,0.76,10.2809,10.8680523,146.053969,4.55
5042.0,-79.135182,14.7645,603.0,TESS,PC,21.9713,4.94,10.0717,11.1149,253.110033,
6501.0,-82.218869,13.898174,1617.82673,TESS,CP,1619.008123,1.74836,10.0068,4.0782392,155.607863,4.08
7860.0,-68.197779,22.1531,,TESS,FP,,1.91,9.941,7.14386,274.221618,4.15
5317.0,-77.610376,8.46404,1505.0,TESS,FP,852.336,0.91,9.7906,7.04083,30.198486,4.49
